id,name,constellation,coord,glon,glat,gal_coord,Vmag,n_Vmag,u_Vmag,spectral_type,spectral_type_full,n_spectral_type,RI,n_RI,BV,u_BV,UB,u_UB,RadVel,RotVel,Parallax,n_Parallax,g_coord_l_rad,g_coord_b_rad,coord_ra_deg,coord_dec_deg
  11,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.93375, -2.54888889)>",98.02,-63.29,"<SkyCoord (Galactic): (l, b) in deg
    (98.02, -63.29)>",6.43, , ,B,B8IIIpSi, ,, ,-0.14, ,-0.47, ,13.0,,, ,1.7107717328048417,-1.104618883587211,1.9337499999999999,-2.548888888888889
  12,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.945, -22.50888889)>",55.56,-79.07,"<SkyCoord (Galactic): (l, b) in deg
    (55.56, -79.07)>",5.94, , ,A,A2Vp:, ,, ,0.14, ,0.06, ,-13.0,,, ,0.9697049324080496,-1.3800318395519162,1.945,-22.50888888888889
  13,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.01458333, -33.52944444)>",355.91,-78.67,"<SkyCoord (Galactic): (l, b) in deg
    (355.91, -78.67)>",5.68, , ,K,K1III, ,, ,1.12, ,, ,7.0,,, ,-0.07138396640656765,-1.3730505225439391,2.0145833333333334,-33.529444444444444
  14,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.05041667, -2.44777778)>",98.34,-63.24,"<SkyCoord (Galactic): (l, b) in deg
    (98.34, -63.24)>",6.07, , ,K,K2III+F, ,, ,1.38, ,1.14, ,1.0,22.0,, ,1.7163567864112237,-1.103746218961214,2.0504166666666666,-2.447777777777778
  15, 21Alp And,And,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.09708333, 29.09055556)>",111.73,-32.84,"<SkyCoord (Galactic): (l, b) in deg
    (111.73, -32.84)>",2.06, , ,B,B8IVpMnHg,v,-0.1, ,-0.11, ,-0.46, ,-12.0,56.0,0.032, ,1.9500563732532645,-0.5731661263549379,2.097083333333333,29.090555555555554
  16,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.0725, -8.82388889)>",91.79,-69.04,"<SkyCoord (Galactic): (l, b) in deg
    (91.79, -69.04)>",5.99, , ,G,gG8, ,, ,1.04, ,0.83, ,20.0,,, ,1.6020377204055951,-1.2049753155768852,2.0725,-8.823888888888888
  17,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.17083333, 36.62666667)>",113.45,-25.45,"<SkyCoord (Galactic): (l, b) in deg
    (113.45, -25.45)>",6.19, , ,F,F8IV, ,, ,0.48, ,-0.09, ,-14.0,6.0,0.044, ,1.980076036387567,-0.4441862946325569,2.170833333333333,36.626666666666665
  18,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.13916667, -17.5775)>",74.69,-76.25,"<SkyCoord (Galactic): (l, b) in deg
    (74.69, -76.25)>",6.06, , ,M,M0III, ,, ,1.67, ,1.97, ,-17.0,,, ,1.3035864183145647,-1.3308135546456763,2.139166666666666,-17.5775
  19,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.2175, 25.46277778)>",110.97,-36.42,"<SkyCoord (Galactic): (l, b) in deg
    (110.97, -36.42)>",6.23, , ,K,K0III, ,, ,0.97, ,0.73, ,15.0,,, ,1.9367918709381076,-0.6356489135763349,2.2175,25.462777777777777
  20,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (2.33416667, 79.71472222)>",120.98,17.0,"<SkyCoord (Galactic): (l, b) in deg
    (120.98, 17.)>",6.01, , ,A,A7IV, ,, ,0.19, ,0.1, ,1.0,90.0,0.002, ,2.11149932906274,0.29670597283903605,2.3341666666666665,79.71472222222222
